starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 26 12:56:20 2022	1643172980	52	511	563	91
Wed Jan 26 12:56:13 2022	1643172973	4	559	563	71
Wed Jan 26 12:56:13 2022	1643172973	4	559	563	57
Wed Jan 26 12:56:20 2022	1643172980	52	512	563	91
Wed Jan 26 12:56:17 2022	1643172977	13	551	563	117
Wed Jan 26 12:56:18 2022	1643172978	14	549	563	62
Wed Jan 26 12:56:18 2022	1643172978	13	551	564	62
Wed Jan 26 12:56:22 2022	1643172982	2	561	564	203
Wed Jan 26 12:56:16 2022	1643172976	7	557	564	56
Wed Jan 26 12:56:18 2022	1643172978	13	551	564	209
Wed Jan 26 12:56:16 2022	1643172976	3	561	564	61
Wed Jan 26 12:56:15 2022	1643172975	11	553	564	87
Wed Jan 26 12:56:13 2022	1643172973	18	546	564	74
Wed Jan 26 12:56:18 2022	1643172978	14	550	564	99
Wed Jan 26 12:56:15 2022	1643172975	2	563	565	62
Wed Jan 26 12:56:13 2022	1643172973	8	556	565	62
Wed Jan 26 12:56:18 2022	1643172978	15	550	565	209
Wed Jan 26 12:56:17 2022	1643172977	12	553	565	129
Wed Jan 26 12:56:17 2022	1643172977	14	551	565	76
Wed Jan 26 12:56:18 2022	1643172978	16	549	565	82
Wed Jan 26 12:56:17 2022	1643172977	15	550	565	76
Wed Jan 26 12:56:16 2022	1643172976	3	562	565	74
Wed Jan 26 12:56:17 2022	1643172977	14	551	565	107
Wed Jan 26 12:56:17 2022	1643172977	22	543	565	107
Wed Jan 26 12:56:16 2022	1643172976	14	551	565	53
Wed Jan 26 12:56:19 2022	1643172979	4	561	565	123
Wed Jan 26 12:56:13 2022	1643172973	16	550	565	83
Wed Jan 26 12:56:16 2022	1643172976	9	557	565	69
Wed Jan 26 12:56:18 2022	1643172978	11	554	565	212
Wed Jan 26 12:56:15 2022	1643172975	12	554	566	67
Wed Jan 26 12:56:19 2022	1643172979	16	550	566	94
Wed Jan 26 12:56:13 2022	1643172973	6	560	566	76
Wed Jan 26 12:56:18 2022	1643172978	8	557	566	77
Wed Jan 26 12:56:15 2022	1643172975	5	561	566	85
