starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 26 01:23:59 2022	1643131439	20	586	606	175
Wed Jan 26 01:23:54 2022	1643131434	9	597	607	196
Wed Jan 26 01:23:49 2022	1643131429	12	595	607	141
Wed Jan 26 01:23:58 2022	1643131438	14	593	607	196
Wed Jan 26 01:23:57 2022	1643131437	15	591	607	264
Wed Jan 26 01:23:55 2022	1643131435	7	600	607	97
Wed Jan 26 01:23:55 2022	1643131435	8	598	607	66
Wed Jan 26 01:23:49 2022	1643131429	33	574	607	88
Wed Jan 26 01:23:52 2022	1643131432	6	601	607	99
Wed Jan 26 01:23:49 2022	1643131429	13	594	607	371
Wed Jan 26 01:23:52 2022	1643131432	13	594	607	102
Wed Jan 26 01:23:52 2022	1643131432	5	602	607	122
Wed Jan 26 01:23:54 2022	1643131434	15	593	607	127
Wed Jan 26 01:23:56 2022	1643131436	43	565	607	59
Wed Jan 26 01:23:56 2022	1643131436	29	578	607	63
Wed Jan 26 01:23:54 2022	1643131434	4	604	608	183
Wed Jan 26 01:23:57 2022	1643131437	5	602	608	248
Wed Jan 26 01:23:49 2022	1643131429	15	593	608	366
Wed Jan 26 01:23:50 2022	1643131430	19	589	608	58
Wed Jan 26 01:23:55 2022	1643131435	8	599	608	97
Wed Jan 26 01:23:52 2022	1643131432	15	593	608	102
Wed Jan 26 01:23:52 2022	1643131432	3	605	608	38
Wed Jan 26 01:23:54 2022	1643131434	11	597	608	171
Wed Jan 26 01:23:59 2022	1643131439	11	597	608	140
Wed Jan 26 01:23:59 2022	1643131439	18	590	608	144
Wed Jan 26 01:23:55 2022	1643131435	18	590	608	50
Wed Jan 26 01:23:55 2022	1643131435	19	589	608	82
Wed Jan 26 01:23:55 2022	1643131435	4	605	608	54
Wed Jan 26 01:23:51 2022	1643131431	18	591	608	207
Wed Jan 26 01:23:55 2022	1643131435	11	597	609	66
Wed Jan 26 01:23:53 2022	1643131433	6	603	609	134
Wed Jan 26 01:23:59 2022	1643131439	2	607	609	156
Wed Jan 26 01:23:55 2022	1643131435	5	604	609	54
Wed Jan 26 01:23:52 2022	1643131432	8	600	609	49
Wed Jan 26 01:23:52 2022	1643131432	5	604	609	120
Wed Jan 26 01:23:52 2022	1643131432	6	603	609	120
Wed Jan 26 01:23:55 2022	1643131435	9	600	609	57
Wed Jan 26 01:24:00 2022	1643131440	41	568	609	120
Wed Jan 26 01:23:55 2022	1643131435	7	603	609	59
Wed Jan 26 01:23:53 2022	1643131433	33	576	609	98
Wed Jan 26 01:23:52 2022	1643131432	9	600	610	68
Wed Jan 26 01:23:59 2022	1643131439	9	601	610	177
Wed Jan 26 01:23:50 2022	1643131430	36	574	610	132
Wed Jan 26 01:23:57 2022	1643131437	3	607	610	181
Wed Jan 26 01:23:55 2022	1643131435	7	604	610	59
Wed Jan 26 01:23:49 2022	1643131429	3	607	610	153
Wed Jan 26 01:23:53 2022	1643131433	5	606	610	114
Wed Jan 26 01:23:57 2022	1643131437	5	605	611	181
Wed Jan 26 01:23:52 2022	1643131432	5	606	611	128
Wed Jan 26 01:23:57 2022	1643131437	7	604	611	181
Wed Jan 26 01:23:52 2022	1643131432	16	595	611	95
Wed Jan 26 01:23:59 2022	1643131439	2	609	611	158
Wed Jan 26 01:23:51 2022	1643131431	16	595	611	213
Wed Jan 26 01:23:58 2022	1643131438	26	585	611	152
Wed Jan 26 01:23:53 2022	1643131433	9	602	611	127
Wed Jan 26 01:23:58 2022	1643131438	21	590	611	140
Wed Jan 26 01:23:59 2022	1643131439	24	587	611	177
Wed Jan 26 01:23:53 2022	1643131433	24	587	611	81
Wed Jan 26 01:23:53 2022	1643131433	20	592	612	121
Wed Jan 26 01:23:55 2022	1643131435	12	600	612	79
Wed Jan 26 01:23:56 2022	1643131436	5	607	612	75
Wed Jan 26 01:23:56 2022	1643131436	17	596	612	114
Wed Jan 26 01:23:56 2022	1643131436	5	607	612	75
Wed Jan 26 01:23:55 2022	1643131435	19	593	612	63
Wed Jan 26 01:23:52 2022	1643131432	6	607	612	164
Wed Jan 26 01:23:49 2022	1643131429	16	597	613	186
Wed Jan 26 01:23:57 2022	1643131437	11	601	613	183
Wed Jan 26 01:23:52 2022	1643131432	12	601	613	114
Wed Jan 26 01:23:56 2022	1643131436	5	608	613	102
Wed Jan 26 01:23:55 2022	1643131435	5	608	613	71
Wed Jan 26 01:23:56 2022	1643131436	45	568	613	61
Wed Jan 26 01:23:59 2022	1643131439	16	597	613	186
Wed Jan 26 01:23:53 2022	1643131433	7	606	613	153
Wed Jan 26 01:23:54 2022	1643131434	11	602	613	183
